problema,n,k,algoritmo,status,synthesis_time_ms,max_memory_mb,expanded_states,used_states,expanded_transitions,used_transitions,heuristic_time_ms
AT,5,5,PORController,OK,10963,650.69,154453,10502,592981,23368,0
AT,5,5,PORGeneralizedController,OK,1931,360.98,11790,13131,42481,29989,0
AT,5,6,MonolithicController,OK,2668,1413.12,154314,34513,729331,77291,0
AT,5,6,DirectedController,OK,9263,237.13,3003,3003,4146,4146,655
AT,5,6,PORController,OK,24477,886.06,258013,15042,1063811,33480,0
AT,5,6,PORGeneralizedController,OK,3668,641.09,19782,20959,75845,47753,0
AT,5,7,MonolithicController,OK,4236,2457.6,248714,60953,1241811,131811,0
AT,5,7,DirectedController,OK,11572,324.13,3003,3003,4146,4146,659
AT,5,7,PORController,OK,118504,1525.76,405923,27487,1776931,60364,0
AT,5,7,PORGeneralizedController,OK,5936,804.84,30046,38363,120955,85141,0
AT,5,8,MonolithicController,OK,9784,3358.72,382274,101953,1999971,213011,0
AT,5,8,DirectedController,OK,12451,321.13,3003,3003,4146,4146,865
AT,5,8,PORController,OK,125923,2129.92,609973,37197,2810341,80479,0
AT,5,8,PORGeneralizedController,OK,9344,1443.84,33397,45627,142936,98841,0
AT,5,9,MonolithicController,OM,,,,,,,
AT,5,9,DirectedController,OK,14587,400.13,3003,3003,4146,4146,906
AT,5,9,PORController,OK,223716,2908.16,883753,50625,4256561,108263,0
AT,5,9,PORGeneralizedController,OK,16629,1843.2,59267,60371,260387,131189,0
AT,5,10,MonolithicController,OM,,,,,,,
AT,5,10,DirectedController,OK,16532,391.13,3003,3003,4146,4146,1029
AT,5,10,PORController,OM,,,,,,,
AT,5,10,PORGeneralizedController,OK,32515,2314.24,92905,96703,418607,209089,0
AT,6,1,MonolithicController,OK,159,0.0,8802,0,25933,0,0
AT,6,1,DirectedController,OK,2100,0.0,936,0,1562,0,228
AT,6,1,PORController,OK,774,0.0,14561,0,37453,0,0
AT,6,1,PORGeneralizedController,OK,68,0.0,119,0,420,0,0
AT,6,2,MonolithicController,OK,580,0.0,44994,0,158797,0,0
AT,6,2,DirectedController,OK,21195,374.99,4671,0,7283,0,721
AT,6,2,PORController,OK,5896,143.71,87953,0,265597,0,0
AT,6,2,PORGeneralizedController,OK,525,0.0,3170,0,10189,0,0
AT,6,3,MonolithicController,OK,1657,0.0,150546,0,594781,0,0
AT,6,3,DirectedController,OK,641115,1208.32,18946,0,28614,0,10291
AT,6,3,PORController,OK,51919,717.13,307085,0,1022821,0,0
AT,6,3,PORGeneralizedController,OK,1514,0.0,11214,0,38135,0,0
AT,6,4,MonolithicController,OK,5209,3031.04,388338,0,1702285,0,0
AT,6,4,DirectedController,TO,,,,,,,
AT,6,4,PORController,OK,265974,1218.56,787847,0,2925985,0,0
AT,6,4,PORGeneralizedController,OK,3934,0.0,29273,0,107399,0,0
AT,6,5,MonolithicController,OM,,,,,,,
AT,6,5,DirectedController,TO,,,,,,,
AT,6,5,PORController,OM,,,,,,,
AT,6,5,PORGeneralizedController,OK,8989,1433.6,62944,0,248434,0,0
AT,6,6,MonolithicController,OM,,,,,,,
AT,6,6,DirectedController,OK,277316,2252.8,20381,20381,27517,27517,27974
AT,6,6,PORController,TO,,,,,,,
AT,6,6,PORGeneralizedController,OK,22531,2990.08,120466,156565,508664,376517,0
AT,6,7,MonolithicController,OM,,,,,,,
AT,6,7,DirectedController,OK,281580,2590.72,20381,20381,27517,27517,28373
AT,6,7,PORController,OM,,,,,,,
AT,6,7,PORGeneralizedController,OM,,,,,,,
AT,6,8,MonolithicController,OM,,,,,,,
AT,6,8,DirectedController,OK,305677,2785.28,20381,20381,27517,27517,28704
AT,6,8,PORController,OM,,,,,,,
AT,6,8,PORGeneralizedController,OM,,,,,,,
AT,6,9,MonolithicController,OM,,,,,,,
AT,6,9,DirectedController,OK,301656,3317.76,20381,20381,27517,27517,28798
AT,6,9,PORController,OM,,,,,,,
AT,6,9,PORGeneralizedController,OM,,,,,,,
AT,6,10,MonolithicController,OM,,,,,,,
AT,6,10,DirectedController,OK,332031,3328.0,20381,20381,27517,27517,29245
AT,6,10,PORController,OM,,,,,,,
AT,6,10,PORGeneralizedController,OM,,,,,,,
AT,7,1,MonolithicController,OK,260,0.0,27682,0,83567,0,0
AT,7,1,DirectedController,OK,4857,0.0,2377,0,4062,0,744
AT,7,1,PORController,OK,1875,0.0,46497,0,122543,0,0
AT,7,1,PORGeneralizedController,OK,79,0.0,141,0,564,0,0
AT,7,2,MonolithicController,OK,1603,0.0,198146,0,730927,0,0
AT,7,2,DirectedController,OK,219128,1044.48,13876,0,21700,0,8026
AT,7,2,PORController,OK,50368,692.25,412513,0,1295743,0,0
AT,7,2,PORGeneralizedController,OK,957,0.0,6790,0,23936,0,0
AT,7,3,MonolithicController,OM,,,,,,,
AT,7,3,DirectedController,TO,,,,,,,
AT,7,3,PORController,OM,,,,,,,
AT,7,3,PORGeneralizedController,OK,3497,0.0,27813,0,101585,0,0
AT,7,4,MonolithicController,OM,,,,,,,
AT,7,4,DirectedController,TO,,,,,,,
AT,7,4,PORController,OM,,,,,,,
AT,7,4,PORGeneralizedController,OM,,,,,,,
AT,7,5,MonolithicController,OM,,,,,,,
AT,7,5,DirectedController,OM,,,,,,,
AT,7,5,PORController,OM,,,,,,,
AT,7,5,PORGeneralizedController,OM,,,,,,,
AT,7,6,MonolithicController,OM,,,,,,,
AT,7,6,DirectedController,OM,,,,,,,
AT,7,6,PORController,TO,,,,,,,
AT,7,6,PORGeneralizedController,OM,,,,,,,
AT,7,7,MonolithicController,OM,,,,,,,
AT,7,7,DirectedController,OM,,,,,,,
AT,7,7,PORController,OM,,,,,,,
AT,7,7,PORGeneralizedController,OM,,,,,,,
AT,7,8,MonolithicController,OM,,,,,,,
AT,7,8,DirectedController,OM,,,,,,,
AT,7,8,PORController,OM,,,,,,,
AT,7,8,PORGeneralizedController,OM,,,,,,,
AT,7,9,MonolithicController,OM,,,,,,,
AT,7,9,DirectedController,OM,,,,,,,
AT,7,9,PORController,OM,,,,,,,
AT,7,9,PORGeneralizedController,OM,,,,,,,
AT,7,10,MonolithicController,OM,,,,,,,
AT,7,10,DirectedController,OM,,,,,,,
